,tweet_time,tweet_language,count
0,07/18/2014,ru,55637
1,10/09/2014,ru,42089
2,07/19/2014,ru,38334
3,03/18/2015,en,28625
4,10/21/2014,ru,21884
5,08/08/2014,ru,20307
6,09/18/2014,ru,19563
7,08/11/2014,ru,18966
8,08/12/2014,ru,18566
9,07/16/2014,ru,18206
10,10/06/2016,en,18173
11,03/19/2015,en,18037
12,08/13/2014,ru,17773
13,08/14/2014,ru,17699
14,10/29/2014,ru,17680
15,09/17/2014,ru,17572
16,10/05/2014,ru,17533
17,10/28/2014,ru,17391
18,08/18/2014,ru,17131
19,10/23/2014,ru,16923
20,09/27/2014,ru,16648
21,08/25/2014,ru,16077
22,09/09/2014,ru,15991
23,07/15/2014,ru,15873
24,01/04/2015,en,15428
25,01/03/2015,en,14983
26,10/19/2014,ru,14554
27,10/24/2014,ru,14501
28,08/19/2014,ru,14382
29,10/07/2014,ru,14325
30,01/20/2015,en,14218
31,08/20/2014,ru,14120
32,07/14/2014,ru,14097
33,10/10/2014,ru,14089
34,10/08/2014,ru,14055
35,10/06/2014,ru,14038
36,09/10/2014,ru,14024
37,08/15/2014,ru,13974
38,09/11/2014,ru,13654
39,08/10/2014,ru,13248
40,10/18/2014,ru,13163
41,11/24/2015,ru,13145
42,10/01/2014,ru,13089
43,10/27/2014,ru,12863
44,07/10/2014,ru,12841
45,10/03/2014,ru,12819
46,12/29/2014,ru,12792
47,08/21/2014,ru,12583
48,10/02/2014,ru,12552
49,10/16/2014,ru,12552
50,09/30/2014,ru,12536
51,03/27/2015,ru,12511
52,10/13/2014,ru,12478
53,03/16/2015,en,12412
54,01/20/2015,ru,12361
55,07/20/2014,ru,12149
56,12/03/2014,en,12111
57,07/17/2014,ru,12099
58,10/15/2014,ru,11699
59,08/26/2014,ru,11544
60,08/09/2014,ru,11506
61,10/26/2014,ru,11267
62,06/26/2014,ru,11222
63,10/22/2014,ru,11132
64,07/21/2014,ru,11093
65,03/17/2015,en,11048
66,03/20/2015,ru,10855
67,03/26/2015,ru,10830
68,10/14/2014,ru,10781
69,03/13/2015,en,10663
70,08/22/2014,ru,10646
71,09/26/2014,ru,10633
72,09/12/2014,ru,10602
73,08/27/2014,ru,10585
74,11/18/2014,ru,10492
75,06/30/2014,ru,10385
76,02/20/2015,en,10382
77,01/21/2015,ru,10342
78,03/31/2015,ru,10296
79,02/05/2015,ru,10081
80,06/27/2014,ru,10037
81,04/16/2015,ru,9958
82,09/24/2014,ru,9844
83,09/19/2014,ru,9815
84,09/11/2014,en,9790
85,03/21/2015,ru,9781
86,08/01/2014,ru,9739
87,10/07/2016,en,9638
88,10/17/2014,ru,9610
89,09/23/2014,ru,9580
90,08/28/2014,ru,9424
91,06/29/2014,ru,9328
92,08/07/2014,ru,9250
93,09/29/2014,ru,9195
94,10/04/2014,ru,9189
95,09/25/2014,ru,9166
96,01/29/2015,en,9140
97,09/22/2014,ru,9093
98,01/30/2015,ru,9048
99,07/03/2014,ru,9027
100,11/26/2015,ru,8976
101,06/28/2014,ru,8943
102,07/13/2015,en,8938
103,09/19/2016,en,8901
104,01/25/2015,ru,8890
105,02/06/2015,ru,8868
106,09/01/2014,ru,8843
107,01/19/2015,en,8803
108,07/31/2014,ru,8739
109,08/30/2014,ru,8736
110,04/01/2015,ru,8686
111,05/01/2015,ru,8655
